Id,country_id,Human Development Index HDI-2014,Gini coefficient 2005-2013,Adolescent birth rate 15-19 per 100k 20102015,Carbon dioxide emissionsAverage annual growth,Carbon dioxide emissions per capita 2011 Tones,Change forest percentable 1900 to 2012,Consumer price index 2013,Domestic food price level 2009 2014 index,Domestic food price level 2009-2014 volitility index,Electrification rate or population,Foreign direct investment net inflows percentage GDP 2013,Fossil fuels percentage of total 2012,Gender Inequality Index 2014,General government final consumption expenditure - Perce of GDP 2005-2013,Gross domestic product GDP 2013,Gross domestic product GDP percapta,Gross national income GNI per capita - 2011  Dollars,Homicide rate per 100k people 2008-2012,Infant Mortality 2013 per thousands,International inbound tourists thausands 2013,Internet users percentage of population 2014,Intimate or nonintimate partner violence ever experienced 2001-2011,Life expectancy at birth- years,Maternal mortality ratio deaths per 100 live births 2013,Mean years of schooling - Years,Net migration rate per 1k people 2010-2015,Physicians per 10k people,Population living on degraded land Percentage 2010,Primary school dropout rate 2008-2014,Prison population per 100k people,Public expenditure on education Percentange GDP,Public health expenditure percentage of GDP 2013,Pupil-teacher ratio primary school pupils per teacher 2008-2014,Renewable sources percentage of total 2012,Research and development expenditure  2005-2012,Share of seats in parliament percentage held by womand 2014,Taxes on income profit and capital gain 205 2013,Total tax revenue of GDP 2005-2013,Under-five Mortality 2013 thousands
Singapore,11,0.91179782,29.95,6.045,-2.261071479,4.320151436,-4.28571428,112.6459144,1.02,4,100,21.40433,97.2071931,0.088129418,10.19173373,411.6176962,76236.79363,76628.2002,0.2,2.2,11900,82,9.2,83,6,10.63,15,19.21,1.213150508,1.32316,230,2.935770035,4.554448,17.43929,2.792809886,2.09652,25.2525253,34.71643602,13.9680752,2.8
Hong Kong ,12,0.90995187,29.95,3.287,3.235980613,5.695268539,2.963996994,114.2999007,1.56,6.1,100,27.96901,94.77411774,0.05292207,9.31379399,370.2199556,51508.86339,53959.40794,0.4,3.033333333,25700,74.56,21,84,5,11.16091728,4.2,39.67,3.717895246,1.00286,128,3.760329962,11.73887333,13.99258,0.385299726,0.74927,34.69130023,36.18479242,12.49966099,7.766666667
Liechtenstein,13,0.90750119,29.00333333,9.298333333,-0.739740093,1.410849731,6.153846154,106.4587666,1.58,6.3,100,-1.162423733,48.29271242,0.064252439,25.18935595,361.8304018,41064.7142,79851.02038,0,2.666666667,52,95.21,39.46666667,80,4.666666667,11.82895773,2.9,30.54333333,3.608516567,20.60125,24,2.111560106,11.35393533,7.44361,55.98071977,2.643806667,20,21.41171644,12.4674263,5.066666667
Sweden,14,0.90681646,26.08,6.528,-2.336878496,5.518421481,4.141017565,103.8298247,1.46,6.7,100,-0.8831089,31.74427191,0.054730397,26.211759,419.5900083,43741.22844,45635.50431,0.7,2.4,5229,92.52,46,82.2,4,12.09518337,4.2,32.65,0.322143905,4.42096,67,6.819419861,9.710296,9.64567,70.53008497,3.40622,43.5530086,9.763459908,20.68098676,3
United Kingdom,15,0.906698192,38.04,25.758,-1.613521067,7.085732086,10.8923784,110.1768945,1.19,5,100,1.803818,85.08723106,0.177352897,20.24009778,2372.688781,37017.10898,39267.19081,1,3.9,31200,91.61,28.4,80.7,8,13.0544459,2.9,27.9,2.694623264,1.561603333,147,6.033299923,9.117729,18.30825,14.37432102,1.72108,23.5253296,31.8236716,25.29322502,4.6
Iceland,16,0.899412127,26.3,11.488,-0.457757463,5.896828979,264.3678174,113.6425471,1.77,5.4,100,3.057418,15.27250818,0.086934519,24.33165173,13.32367403,41249.50938,35182.11477,0.3,1.6,800,98.16,42,82.6,4,10.59,3.3,34.76,5.428434008,2.08263,47,7.359960079,9.058935,9.92804,84.72752504,2.60487,41.2698413,27.42886228,22.25784913,2.1
South Korea,17,0.898334135,31.01333333,2.242,6.526072967,11.84075687,-3.421703721,107.67,1.85,9.1,100,0.9367723,82.80768545,0.124723753,14.92681447,1642.59033,32708.10745,33890.45203,0.9,3.2,12200,84.33,30.3,81.9,27,11.89,1.2,21.43,2.879727972,0.80889,99,4.86413002,7.172796,17.8745,17.15811066,4.03919,16.3333333,30.32686893,14.4356558,3.7
Israel,18,0.894272981,42.78,7.819,1.539877449,8.952413531,16.36363636,106.8314903,2.2,5.9,100,4.0627,96.69218639,0.100935552,22.49005822,249.2549403,30926.84909,30675.51109,1.8,3.2,2962,71.45,43.7,82.4,2,12.54470158,-2,33.46,12.85759676,1.05974,223,5.637189865,7.237709,12.50256,4.815703541,3.926270008,22.5,27.92069595,22.12731237,4
Luxembourg,19,0.891851627,29.00333333,8.349,-2.114326209,20.8978117,2.963996994,108.0057702,1.27,8.9,100,50.01655,87.35561187,0.099852289,17.28136089,47.65914024,87737.41672,58711.39454,0.8,1.6,945,94.67,39.46666667,81.7,11,11.71397591,9.7,28.24,2.225021549,5.595456667,122,5.285459916,7.096672,8.37204,3.980732398,1.44066,28.3333333,30.04580977,25.53081708,2
Japan,20,0.890593213,32.11,5.412,0.751121838,9.291834303,0.197766176,100.0416667,1.89,5.6,100,0.0755157,94.78853059,0.132589731,20.5723682,4535.077113,35614.30992,36926.91669,0.3,2.1,10400,90.58,18.5,83.5,6,11.52,0.6,22.97,0.293459213,0.16174,51,3.849699974,10.29905,17.0901,5.211469635,3.38807,11.5760112,45.95831243,10.08687665,2.9
Belgium,21,0.890262992,33.14,6.709,-1.235474144,8.849398302,2.072259342,107.6561463,1.68,6,100,-0.6228033,70.09410307,0.063306857,24.41504005,454.6038686,40607.25903,41187,1.6,3.5,7684,85,28.9,80.8,6,11.27326393,2.7,29.93,10.45827054,13.48664,108,6.548860073,11.18614,11.20289,28.26372474,2.23621,42.3809524,35.213436,24.85708465,4.4
France,22,0.888107437,31.69,5.736,-1.566449324,5.185410609,10.40893278,105.0137245,1.7,4.8,100,0.2309128,49.1095992,0.08838641,24.12495322,2453.251048,37154.44504,38056.35627,1,3.5,84700,83.75,30.53333333,82.2,12,11.13314915,2,31.8,3.89500861,2.425216667,98,5.67538023,11.66171,17.81514,52.41154415,2.26264,25.7297297,24.63749388,21.38624496,4.2
Austria,23,0.88502726,30.04,4.126,0.43641002,7.769983423,3.255795278,107.9506626,1.43,5.9,100,3.644082,67.07715227,0.05284976,19.82821038,376.0309686,44375.79243,43869.2871,0.9,3.2,24800,81,29.13333333,81.4,4,10.83443082,3.5,48.3,2.746283105,0.26172,98,5.795760155,11.03413,10.82489,32.17653329,2.83639,30.3278689,23.719648,18.26718464,3.9
Finland,24,0.882727787,27.79,9.211,0.477135982,10.1640461,1.45752605,107.8903288,1.6,6.2,100,-1.981359,43.03976228,0.074720064,24.94126879,211.2973284,38845.65513,38694.76981,1.6,2.1,4226,92.38,43.5,80.8,4,10.286,1.8,29.05,0.045135256,0.44827,58,6.761050224,9.399151,13.55949,47.50230415,3.54823,42.5,14.79069522,20.00110514,2.6
Slovenia,25,0.88028084,24.87,0.617,-0.32720268,7.504259702,5.808080803,106.2947129,2.21,9.4,100,-0.8724494,66.58565479,0.016422272,20.35019907,56.81950556,27575.80528,27852.1462,0.7,2.3,2259,71.59,41.16666667,80.4,7,11.89249992,2.1,25.16,8.357202003,1.17471,66,5.680540085,9.159823,16.78039,34.51116942,2.79952,27.6923077,10.41415681,17.54166544,2.9
Spain,26,0.876124307,35.75,10.624,1.677077353,5.790764234,34.23471211,107.2095415,2.01,8.4,100,3.224387,75.88553837,0.095356027,19.46451566,1473.889627,31596.37973,32044.86286,0.8,3.6,60700,76.19,30.53333333,82.6,4,9.58190918,2.6,36.95,1.442600197,2.85256,147,4.978519917,8.87926,12.60121,24.88700562,1.30142,37.987013,20.07158339,7.078465974,4.2
Italy,27,0.873022984,35.52,3.957,0.632018178,6.702557614,22.58301665,107.1577369,2.01,5,100,0.6106765,83.7224112,0.067627166,19.44624264,2044.263295,34167.23968,33030.22947,0.9,3,47700,61.96,31.9,83.1,4,10.10184065,3,40.92,2.240151714,0.66545,106,4.294929981,9.090887,10.32595,13.94140111,1.26572,30.0736067,32.75692457,22.37408508,3.6
Czech Republic,28,0.870090821,26.39,4.906,0.140678042,10.43108813,1.269616625,106.8101029,2.27,10.7,100,2.397992,76.85396676,0.09142376,19.6263576,294.171297,27959.14952,26660.2795,1,2.9,9004,79.71,58,78.6,5,12.32,3.8,36.24,4.17447788,0.74861,154,4.507180214,7.243968,18.97433,26.50510932,1.88148,18.86121,14.49787125,13.44907879,3.6
