Id,country_id,Human Development Index HDI-2014,Gini coefficient 2005-2013,Adolescent birth rate 15-19 per 100k 20102015,Carbon dioxide emissionsAverage annual growth,Carbon dioxide emissions per capita 2011 Tones,Change forest percentable 1900 to 2012,Consumer price index 2013,Domestic food price level 2009 2014 index,Domestic food price level 2009-2014 volitility index,Electrification rate or population,Foreign direct investment net inflows percentage GDP 2013,Fossil fuels percentage of total 2012,Gender Inequality Index 2014,General government final consumption expenditure - Perce of GDP 2005-2013,Gross domestic product GDP 2013,Gross domestic product GDP percapta,Gross national income GNI per capita - 2011  Dollars,Homicide rate per 100k people 2008-2012,Infant Mortality 2013 per thousands,International inbound tourists thausands 2013,Internet users percentage of population 2014,Intimate or nonintimate partner violence ever experienced 2001-2011,Life expectancy at birth- years,Maternal mortality ratio deaths per 100 live births 2013,Mean years of schooling - Years,Net migration rate per 1k people 2010-2015,Physicians per 10k people,Population living on degraded land Percentage 2010,Primary school dropout rate 2008-2014,Prison population per 100k people,Public expenditure on education Percentange GDP,Public health expenditure percentage of GDP 2013,Pupil-teacher ratio primary school pupils per teacher 2008-2014,Renewable sources percentage of total 2012,Research and development expenditure  2005-2012,Share of seats in parliament percentage held by womand 2014,Taxes on income profit and capital gain 205 2013,Total tax revenue of GDP 2005-2013,Under-five Mortality 2013 thousands
Samoa,105,0.702093945,36.75,28.251,6.012901811,1.252143478,31.53846154,108.0086221,5.99,6.866666667,100,3.015218,71.43402406,0.457078377,17.09339857,1.063023316,5583.926819,5327.482686,3.6,15.5,116,21.2,75.8,73.4,58,10.31590441,-13.4,4.52,17.68113402,10.04949,228,5.773459911,7.507057,30.23604,45.96556421,0.218356667,6.122449,20.28933663,0.019541223,18.1
Botswana,106,0.697918743,60.46,44.225,1.495079444,2.443804075,-18.980901,123.4989648,2.93,3.6,53.2,1.275685,65.38325414,0.48007114,19.70085858,30.81559189,15246.6088,16646.22538,18.4,36.3,2145,18.5,27.43333333,64.5,170,8.87,2,3.36,22.03980842,7.02788,205,9.487380028,5.429467,25.41686,22.27092195,0.53286,9.5238095,23.86514357,27.12544315,46.6
Moldova,107,0.693302691,30.63,29.268,3.563738895,1.398821793,23.92484885,117.8300267,4.82,5.7,100,3.124867,94.89078533,0.248234141,20.30265571,16.08857881,4520.533524,5223.032475,6.5,13.3,11.5,46.6,24.6,71.6,21,11.1860714,-5.9,28.59,21.76888661,5.38253,188,8.348959923,11.80155,16.32995,3.389599987,0.40499,20.7920792,2.651185359,18.64492684,15.4
Egypt,108,0.689948655,30.75,42.965,5.090131833,2.78099524,61.81818264,129.0627973,7.47,9.8,100,2.041748,96.47622237,0.572610932,11.68083043,880.7512079,10733.48872,10512.42422,3.4,18.6,9174,31.7,33.7,71.1,45,6.55,-0.5,28.3,25.28531424,3.90231,80,3.760829926,5.060637,27.73437,3.702094749,0.42863,2.1802326,26.15481633,13.16432609,21.8
Turkmenistan,109,0.687520517,38.66666667,18,1.495079444,12.18367613,0,117.1664248,4.906666667,7.966666667,100,7.314064,74.65682439,0.359146799,8.85717012,71.02881519,13554.93115,13066.17115,12.8,46.6,8,12.2,21.1,65.6,61,9.87817,-1,41.79,11.13973264,5.197406667,224,3.049249887,1.972531,22.83623,0,0.344533333,25.8064516,31.55694472,26.03439251,55.2
Gabon,110,0.683512932,42.19,102.995,-2.936597418,1.403276216,-2.34E-09,104.4640947,5.22,21,89.3,4.425258,38.86509883,0.513689337,8.87489682,31.17134153,18646.36981,16366.92848,9.1,39.1,269,9.81,37.93333333,64.4,240,7.7998665,0.6,2.92,10.51435767,4.69927,196,5.4484001,3.814626,24.53098,61.13485109,0.58087,16.2162162,17.81020034,17.22368907,56.1
Indonesia,111,0.683759559,38.1406895,48.328,6.653505702,2.313292898,-21.49647813,116.9100201,6.73,10.7,96,2.688367,66.42315665,0.494013828,9.10661912,2312.362037,9254.42218,9788.425338,0.6,24.5,8802,17.14,3.07,68.9,190,7.5877435,-0.6,2.04,3.082433848,11.02493,59,3.567409992,3.068364,18.59225,33.5768443,0.08332,17.1171171,36.80345193,11.43072588,29.3
Paraguay,112,0.679164356,48.01,66.963,3.244556239,0.806136742,-18.58581085,115.245478,4.33,11.2,98.2,1.193061,33.80761819,0.471829477,12.05345426,53.28288012,7833.074002,7643.371463,9.7,18.7,610,43,46.76666667,72.9,110,7.703,-1.2,11.07,1.305423518,19.88428,118,4.966430187,9.005342,21.74149,145.1948765,0.05483,16.8,11.61428979,12.79424138,21.9
Palestine,113,0.677492609,34.46,45.836,3.563738895,0.572406877,0.99118942,119.4355675,5.99,6.866666667,97.7,1.594702,56.87910385,0.514762596,27.72221927,18.69787358,4484.433787,4699.154381,7.4,18.6,545,53.67,39.36666667,72.9,379.6666667,8.874298096,-2,9.633333333,3.690942501,3.52806,83.66666667,3.997853398,4.595399,23.5944,59.46381334,0.222716667,10.53696633,2.099094116,5.128366306,21.8
Uzbekistan,114,0.675466117,35.19,38.754,3.563738895,3.914921266,7.313628911,112.9236313,6.453333333,7.5,100,1.896272,98.17106922,0.514762596,22.43944485,151.2809963,5002.496479,5567.011781,3.7,36.7,1969,43.55,39.36666667,68.4,36,10.85709007,-1.4,23.81,26.97897036,1.92168,152,4.12481006,6.114993,15.6244,1.844778356,0.239776667,16.4,16.73630094,11.67963249,42.5
Philippines,115,0.668218346,43.03,46.785,0.713566888,0.862803677,18.33485541,111.2033195,6.84,2.6,87.5,1.346701,59.66794844,0.419593547,11.10484268,622.4590438,6326.216424,7915.198857,8.8,23.5,4681,39.69,23.6,68.2,120,8.882855,-1.4,11.53,2.203902366,24.22016,111,3.41,4.398341,31.43572,40.33204909,0.10963,27.0700637,42.08251162,12.88007698,29.9
El Salvador,116,0.665784288,41.8,75.979,3.36647746,1.068523404,-26.20689653,107.7947771,4.28,3,93.7,0.8114219,47.87002441,0.426899131,11.95015479,47.64903589,7515.082656,7349.48103,41.2,13.5,1283,29.7,26.3,73,69,6.514523029,-7.1,15.96,6.279650781,16.21072,422,3.417490005,6.945801,24.47664,51.9029622,0.03112,27.3809524,23.03128299,14.53287197,15.7
South Africa,117,0.665879394,65.02,50.862,1.009357537,9.257216472,0,117.1340801,3.04,6.2,85.4,2.217724,87.23932476,0.407089384,22.2363057,641.3763996,12105.55488,12122.31676,31,32.8,9537,49,25.19,57.4,140,9.943231583,-0.4,7.76,17.48040665,23.01407,294,6.233610153,8.93251,28.68789,12.94767276,0.7616,40.7488987,49.37560936,26.49669012,43.9
Vietnam,118,0.66571735,35.62,29.041,3.593963868,1.971889173,57.91367078,138.0052744,4.113333333,5.433333333,99,5.192835,71.04616896,0.307781334,6.15585579,459.7225447,5124.60352,5091.794902,3.3,19,7572,48.31,38.5,75.8,49,7.45,-0.4,11.59,8.006154137,5.50217,145,6.303110123,5.952436,18.88349,28.22798967,0.241756667,24.2971888,22.92032369,16.78054625,23.8
Bolivia,119,0.661830764,46.64,71.879,3.191720188,1.561355792,-9.896010835,121.4134042,5.85,12.2,90.5,5.717472,72.74845158,0.444295565,13.86783083,63.32704099,5934.387978,5760.078771,12.1,31.2,798,39.02,67.6,68.3,200,8.153532982,-2.4,4.73,2.02291192,3.26918,140,6.436910152,6.065052,24.21916,27.2515614,0.157,51.8072289,9.64106556,16.9648658,39.1
Kyrgyzstan,120,0.655273515,33.39,29.264,2.709606612,1.199591629,18.1339713,127.529306,3.906666667,5.366666667,100,10.48451,68.37992979,0.352807492,18.07639037,17.78688546,3109.867201,3044.232413,9.1,21.6,3076,28.3,46.76666667,70.6,75,10.58696477,-6.3,19.64,9.701585918,2.94636,181,6.79061985,6.671649,23.89988,39.38075084,0.15633,23.3333333,19.10663807,18.11668711,24.2
Iraq,121,0.653860839,29.54,68.667,1.813517167,4.208272413,3.332529726,114.3534281,5.06,16.4,100,1.243637,97.49666739,0.538845062,21.3,483.6001123,14471.47332,14003.21961,8,28,892,11.3,27.43333333,69.4,67,6.38,2.7,6.07,4.538329361,5.357976667,110,5.420013348,5.215143,16.95545,0.950543319,0.03378,26.5243902,38.56999344,29.91221769,34
Cape Verde,122,0.646240273,43.82,70.596,6.23088141,0.867122204,48.25259517,108.7509463,5.7,5.4,70.6,2.198833,71.43402406,0.373180782,18.52364207,3.098396304,6210.492955,6094.183166,10.3,21.9,503,40.26,16.1,73.3,53,4.683459,-6.9,2.95,10.92553271,8.59943,267,5.043610096,4.353161,22.56007,39.55255722,0.07264,20.8333333,23.25695735,17.79918314,26
Micronesia,123,0.639590169,61.1,18.556,3.563738895,1.240959545,-9.724267931,114.1411681,5.99,6.866666667,59.3,0.5982712,56.87910385,0.514762596,14.49403165,0.340236431,3285.752942,3432.116962,4.6,29.8,42,22.73333333,39.36666667,69.1,96,9.72106955,-15.7,1.77,2.207067377,27.23477,80,4.585523486,12.59384,35.39192667,80.46735958,0.25341,0,19.96425105,14.76540594,36.4
Guyana,124,0.635715749,49.99333333,88.484,0.088218435,2.253385461,3.88E-09,109.458413,3.38,6,79.5,6.706192,57.25897054,0.515278011,14.20481006,5.066308147,6335.9502,6521.655155,17,29.9,177,37.35,38.4,66.4,250,8.533,-8.2,2.14,20.38980809,7.81281,260,3.19404006,6.5,23.1645,52.30872002,0.408276668,31.3432836,30.12720924,14.33495715,36.6
Nicaragua,125,0.631432134,45.73,100.796,1.131874987,0.829634356,-34.1160833,124.1246121,4.54,6.4,77.9,7.508257,49.75543157,0.448547724,5.74763944,27.32424952,4493.766694,4456.540043,11.3,20,1229,17.6,29.3,74.9,100,6,-4,3.74,13.86883968,51.59073,153,4.39413023,8.287618,30.21638,50.33231749,0.453073333,39.1304348,29.96093267,14.84988903,23.5
Morocco,126,0.627953662,40.88,35.819,4.443174996,1.763531559,2.020202009,104.1421665,5.67,4.9,100,3.236758,93.59757676,0.524865831,18.96891696,233.928969,6967.259246,6850.140706,2.2,26.1,1.00E+04,56.8,44.5,74,120,4.369,-2.7,6.2,39.14927252,10.74566,220,6.590469837,6.01455,25.66659,4.109936685,0.7338,10.9774436,26.18518282,24.49246644,30.4
Namibia,127,0.627616308,61.32,54.912,1.986940832,1.251757065,-18.49349461,118.1839997,3.45,7.2,47.3,6.892199,65.96589372,0.400989233,27.58830406,21.36502706,9275.772989,9417.804268,17.2,35.2,1176,14.84,42.5,64.8,130,6.22,-0.3,3.74,28.47698286,15.53728,191,8.495189667,7.737475,29.77842,21.02450996,0.14441,37.6923077,32.61844535,23.10697741,49.8
Guatemala,128,0.627208788,52.35,97.224,1.919736565,0.765486709,-25.34540859,115.0207631,7.11,5.5,78.5,2.50966,33.51479654,0.533192438,10.47874166,109.2446582,7062.530675,6929.192667,39.9,25.8,1331,23.4,27.6,71.8,140,5.599730015,-1,9.32,9.108649332,33.27227,105,2.845129967,6.51574,25.54245,66.19495876,0.0481,13.2911392,29.42928658,10.83596051,31
Tajikistan,129,0.624455505,30.77,42.812,2.709606612,0.356149254,0.490196076,124.9484784,3.906666667,5.366666667,100,1.267174,42.90388492,0.357262848,11.74017642,19.95865398,2431.659069,2517.402532,1.6,40.9,208,17.49,58.3,69.4,44,10.35582,-2.5,18.99,10.47769525,2.01199,130,4.018030167,6.751992,22.3589,57.54488538,0.12148,15.2173913,17.54118711,15.55956919,47.7
India,130,0.608692727,33.60168037,32.799,5.21342449,1.698672693,7.483695382,131.9747419,4.68,8.4,78.7,1.501382,72.30027842,0.56286706,11.81270115,6558.732756,5238.020406,5497.498571,3.5,41.4,6968,18,35.4,68,190,5.39,-0.4,7.02,9.612465639,29.39690333,30,3.791949987,3.967993,35.15463,27.6368149,0.80602,12.2137405,44.83908856,10.65541396,52.7
Honduras,131,0.606054608,57.4,83.964,2.413885595,1.081709663,-39.13470993,118.1071672,4.76,4.8,82.2,5.762953,51.58722423,0.479580167,16.58802273,35.99641807,4445.271054,3937.700893,90.4,18.9,863,19.08,50.13333333,73.1,120,5.482227802,-1.2,3.72,15.04037624,30.34513,153,4.554250002,8.582866,33.87645,48.76114608,0.169443333,25.78125,21.61801215,14.71914187,22.2
Bhutan,132,0.605184588,38.73,40.929,14.18964911,0.769164648,32.09328635,129.194415,5.07,6.4,75.6,2.794894,71.43402406,0.457433789,17.50752074,5.403693318,7167.205809,7175.502908,1.7,29.7,116,34.37,26.2,69.5,120,3.01,2.7,2.59,0.054156879,21.14169,135,5.47713995,3.592283,23.9859,59.46381334,0.187246667,8.3333333,15.91263971,9.235527025,36.2
East Timor,133,0.594761079,30.41,52.205,3.563738895,0.16364808,-25.50724638,141.0501651,5.99,6.866666667,41.6,1.580266,56.87910385,0.491649247,85.7480315,2.343569932,2039.735075,5362.516358,3.6,46.2,58,1.14,39.2,68.2,270,4.424304,-13.3,0.73,2.207067377,16.44086,25,9.418680191,1.27311,31.35481,80.46735958,0.193126667,38.4615385,19.6298133,14.76540594,54.6
Syria,134,0.593720561,35.78,41.601,3.020273732,2.625979411,35.32550554,143.1999795,5.99,6.866666667,96.3,3.073775,98.67937811,0.532923592,12.30532266,66.11593559,3367.560709,2728.221373,2.2,11.9,5070,28.09,38.16666667,69.6,49,6.25,-13.7,15,33.29269157,6.83629,58,4.871970177,3.272049,31.78702,1.445403051,0.310746667,12.4,30.19284957,14.19468279,14.6
Vanuatu,135,0.593871205,36.75,44.811,0.727965912,0.591505431,-8.31E-09,103.7165923,4.113333333,5.433333333,27.1,3.980442,63.67490929,0.407348213,16.26320858,0.731742177,2894.973461,2802.654751,2.9,14.6,110,18.8,48,71.9,86,6.793013333,0,1.16,12.64982295,28.54799,76,5.012869835,3.852452,21.66442,53.54469329,0.243893333,0,22.08003591,15.98577738,16.9
Republic of the Congo,136,0.590621541,40.17,126.725,0.700517733,0.53199527,-1.492983892,111.5508198,6.29,18.8,41.6,14.47052,48.85030174,0.593448451,13.55084741,25.26357264,5680.229983,6011.708112,12.5,35.6,297,37.26666667,26.2,62.3,410,6.09,-2.1,0.95,0.104746831,29.70908,31,6.220789909,4.120718,44.442,51.00979841,0.239776667,11.5384615,4.134581355,5.946111597,49.1
Kiribati,137,0.590236957,39.27333333,16.607,0.727844712,0.628100756,0,114.1411681,5.99,6.866666667,59.3,5.326972,56.87910385,0.491649247,16.44027187,0.183852809,1796.297146,2433.506834,8.2,45.1,5.9,12.25,73,66,130,7.812116,-2,3.76,2.207067377,21.09494,114,4.585523486,10.07615,24.9969,80.46735958,0.25341,8.6956522,8.746804414,16.05420584,58.2
Equatorial Guinea,138,0.586560861,28.84666667,112.64,14.89952662,9.341683473,-13.84946237,120.7325114,3.266666667,6.333333333,66,12.28454,73.07550391,0.207105109,6.65328141,24.74304976,32685.06231,21055.95536,19.3,69.3,0,18.86,31.33333333,57.6,290,5.48047996,5.3,3.02,6.046997951,27.93064,95,5.336736679,3.470018,26.1669,9.715992285,1.04235,19.6531792,35.73133082,20.48102082,95.8
Zambia,139,0.585509863,57.49,125.402,-4.392004573,0.223509065,-6.94166667,121.3427317,10.1,3.2,22.1,6.751832,8.756977521,0.586813869,2.80376004,55.24015056,3799.540436,3734.033348,10.7,55.8,915,17.34,51.9,60.1,280,6.6,-0.6,0.66,4.629743815,44.51099,119,1.345360041,5.03094,47.94526,91.82536742,0.34033,12.6582278,47.9663724,15.96311448,87.4
Ghana,140,0.579090287,42.76,58.396,0.923798572,0.40613603,-36.77228787,132.464651,5.4,18.3,64.1,6.703779,37.37390732,0.553734019,16.62609154,100.0961642,3864.030789,3852.00413,6.1,52.3,931,18.9,44.5,61.4,380,6.999,-0.8,0.96,1.430711126,16.28634,54,8.14097023,5.390447,30.07899,63.12336837,0.37655,10.9090909,24.68342499,14.86587011,78.4
Laos,141,0.575044891,36.22,65.036,-0.463993631,0.184437676,-9.930691922,119.295099,8.62,3.6,70,3.795123,63.67490929,0.407348213,14.4641119,31.59661801,4667.340059,4680.085598,5.9,53.8,2510,14.26,50.13333333,66.2,146,5.00032,-2.2,1.82,4.108453348,26.66258,69,2.773869991,1.978438,25.59771,71.62274955,0.169443333,25,17.59639794,14.83200194,71.4
Bangladesh,142,0.570099974,32.12,80.589,2.709606612,0.373339091,-3.828647952,126.4430232,7.99,4.5,59.6,1.001162,71.52585831,0.503392283,5.11613254,446.8355404,2853.44774,3191.497765,2.7,33.2,148,9.6,53.3,71.6,170,5.073080011,-2.6,3.56,11.27111715,33.79904,42,2.233839989,3.727478,40.21148,28.47414169,0.243893333,20,22.35815274,8.685927392,41.1
Cambodia,143,0.554758321,31.82,44.327,1.989708373,0.307803949,-23.98640297,111.7668232,7.78,4.7,31.1,8.826509,26.22423718,0.477496077,5.21854105,44.55074331,2943.524668,2948.933581,6.5,32.5,4210,9,22.3,68.4,170,4.36901,-2.3,2.27,39.31071064,35.7704,106,2.603879929,7.518833,46.92711,71.12475599,0.243893333,19.0217391,13.82354061,11.59307499,37.9
São Tomé and Príncipe,144,0.555003909,33.87,65.127,3.421450843,0.560528887,0,132.4011368,9.12,50.5,60.5,3.41,56.87910385,0.491649247,13.5154438,0.555001638,2875.760456,2918.228611,3.3,36.7,12,24.41,44.4,66.5,210,4.658307,-1.6,4.91,2.207067377,33.86937,128,9.479419708,6.898551,31.37579,80.46735958,0.25341,18.1818182,12.81511846,14.01509623,51
Kenya,145,0.548409285,47.68,93.608,0.529624268,0.322830855,-7.092772379,131.8464844,5.84,6,23,0.931135,19.71031282,0.552202337,14.04606422,119.9910701,2705.323218,2761.602872,6.4,47.5,1434,43.4,45.1,61.6,400,6.27,-0.2,1.81,31.0001229,22.36874,121,6.638899803,4.476563,56.5747,80.29181812,0.976170003,20.8133971,40.89231168,15.90217703,70.7
Nepal,146,0.547536525,32.82,73.684,6.98723985,0.159608758,-24.70163116,130.417729,9.5,10.2,76.3,0.3816179,12.54302393,0.488570141,9.93664937,60.39804748,2172.790392,2311.257043,2.9,32.2,798,15.44,26,69.6,190,3.31,-2.9,2.09,2.320809332,39.63986,48,4.716989994,5.997744,23.93286,86.88591562,0.3022,29.480737,18.74450907,15.3353641,39.7
Pakistan,147,0.538381762,29.63,27.262,2.660765388,0.927832445,-36.64424217,132.195293,7.14,13.2,93.6,0.5626665,60.89336378,0.535854151,10.96205949,811.2767432,4454.074829,4866.183604,7.7,69,966,13.8,50.03333333,66.2,170,4.733353615,-1.8,8.27,4.465127462,37.80587,39,2.487930059,2.754422,42.54875,39.10663622,0.32902,19.6721311,27.8547536,11.13240441,85.5
Myanmar,148,0.535560678,38.39666667,12.058,0.517299165,0.199423053,-20.5320978,112.4495606,8.49,8.1,52.4,2.494965633,21.31422761,0.413401109,16.29296735,54.61125963,5299.882323,4607.674937,15.2,39.8,2044,2.1,31.8,65.9,200,4.09,-0.4,6.12,19.21348921,25.20767,120,0.786059976,1.770139,28.2163,78.68576527,0.232196667,4.7244094,25.21872186,12.66695574,50.5
Angola,149,0.531591422,42.66,170.156,2.913788453,1.47221569,-4.502755174,136.1297275,7.22,13.7,37,-5.733708,39.27903427,0.407348213,19.91099645,160.7797281,7488.01176,6821.686568,10,101.6,650,21.26,32.1,52.3,460,4.726362,0.6,1.66,3.291979319,68.12715,105,3.476439953,3.798967,42.54306,60.7209731,0.325656667,36.8181818,31.91897795,18.83667616,167.4
Swaziland,150,0.53063315,51.49,71.986,0.163463757,0.865201677,21.14406778,122.0863163,3.38,6,42,0.6383359,57.25897054,0.557224829,19.88586719,8.085460388,6470.88419,5542.26692,33.8,55.9,968,27.1,46.76666667,49,310,7.122,-1,1.7,5.157378966,32.69063,284,7.829539776,8.437423,29.05959,74.56075452,0.29086,14.7368421,17.54118711,15.55956919,80
Tanzania,151,0.521214356,37.82,122.709,0.623021342,0.157503158,-21.38522713,141.0115842,11.54,4.8,15.3,4.289878,10.69052699,0.546911368,19.0273852,82.16306377,1718.117813,2411.472161,12.7,36.4,1063,4.86,45.4,65,410,5.12,-0.6,0.08,24.99486467,33.3469,78,6.181200027,7.311431,43.44315,89.30947301,0.51616,36,21.88066625,16.05165646,51.8
Nigeria,152,0.514024001,42.95,119.594,1.084507968,0.536115274,-52.29314145,134.9246423,6.33,4,55.6,1.074926,17.39586957,0.373180782,8.08360654,941.4627755,5422.693343,5341.109794,20,74.3,600,42.68,29.5,52.8,560,5.94666,-0.4,4.08,11.50578828,20.66159,32,6.246693373,3.875997,37.55319,82.60413043,0.21896,6.6098081,28.31914483,1.556757245,117.4
Cameroon,153,0.511806528,40.72,115.839,3.424371511,0.267620307,-19.90458957,108.0299558,7.81,10,53.7,1.100699,26.79627116,0.587308664,11.57348299,60.96124783,2739.343945,2803.413068,7.6,60.8,912,11,51.1,55.5,590,5.96,-0.5,0.77,15.33127804,30.24518,119,2.965329885,5.106277,45.56349,73.20374372,0.25341,27.1428571,19.96425105,14.76540594,94.5
Madagascar,154,0.509865579,40.63,122.842,-0.861782065,0.112992456,-9.191148106,123.2287449,7.07,3.5,15.4,7.891204,63.67490929,0.407348213,8.62116616,31.37569412,1368.632412,1328.268516,11.1,39.6,196,3.7,46.43333333,65.1,440,6.046865,0,1.61,0.010311891,62.0302,87,2.742980003,4.233579,39.76644,71.62274955,0.10567,20.5298013,21.180726,10.09643429,56
Zimbabwe,155,0.508747386,49.99333333,60.256,-2.40083028,0.738135818,-32.45804006,109.0794885,3.906666667,5.366666667,40.5,2.965159,28.29375288,0.503975903,20.03706449,25.09175794,1773.313226,1615.454099,10.6,55,1833,19.89,43.4,57.5,470,7.25,5.7,0.62,29.42090318,19.52912333,129,1.966099977,5.887984,35.86109,70.29230421,0.444353334,35.1428571,26.68632641,16.76186602,88.5
Mauritania,156,0.505867208,40.46,73.303,1.669600356,0.623915168,-44.09638547,115.4348071,10.09,3.1,21.8,27.07925,72.8012596,0.610451397,17.00110424,11.4565896,2945.229569,3560.120094,5,67.1,0,10.7,38.4,63.1,320,3.77,-1,1.3,23.80440185,35.87207,45,3.812410116,3.77143,35.37825,61.95584257,0.408276668,22.1674877,30.12720924,14.33495715,90.1
Solomon Islands,157,0.505637417,36.75,64.858,1.234110946,0.368065249,-5.258175562,119.818192,5.99,6.866666667,22.8,4.072728,71.43402406,0.407348213,39.19373867,1.123916946,2002.592418,1539.972952,4.3,25.1,24.4,9,64,67.9,130,5.044133924,-4.3,2.24,14.40561312,25.11109,55,9.853710175,5.132867,20.59775,78.00205583,0.27131,2,18.15036757,12.78618935,30.1
Papua New Guinea,158,0.505259362,37.07,62.107,3.155088946,0.745637979,-9.775084855,114.5951801,5.99,6.866666667,18.1,0.1182247,48.98869118,0.611274797,18.65204415,17.99297081,2457.632414,2462.837872,10.4,47.3,174,9.38,38.16666667,62.6,220,3.95,0,0.53,17.29637544,24.95761667,48,4.970450083,4.493263,36.24174,86.21159243,0.458766667,2.7027027,23.75561711,14.7978051,61.4
Comoros,159,0.503183524,64.3,51.125,1.879072239,0.225189085,-81.66666667,105.9509583,3.906666667,5.366666667,69.3,2.326732,72.8012596,0.428497323,16.21755588,1.028722742,1399.780848,1455.776688,10,57.9,19,6.98,38.4,63.3,350,4.601552,-2.8,1.46,22.86191836,44.59307,16,7.608129978,5.757306,27.80796,55.83709561,0.396520001,3.030303,26.11040239,30.28677043,77.9
Yemen,160,0.49811025,35.91,47.018,2.75479145,0.956709703,0,145.7691505,7.58,11,48.4,-0.3714998,98.50974843,0.743960448,13.75709418,93.53603375,3832.28474,3519.487289,4.8,40.4,990,22.55,39.36666667,63.8,270,2.6,-1.1,1.97,32.35370437,40.50239,55,4.560599804,5.351706,30.25279,1.490265344,0.193126667,0.7281553,19.6298133,14.76540594,51.3
Lesotho,161,0.496532149,54.17,89.43,1.986940832,1.08410084,10.99999998,116.9270053,4.43,6.4,20.6,1.922729,61.06031397,0.54063891,37.7314128,5.172914415,2493.613734,3305.904662,38,73,433,11,38.4,49.8,490,5.874752222,-1.9,0.49,63.63823579,43.24563,121,12.98200989,11.47672,32.62708,55.83709561,0.01283,26.7973856,17.37886604,58.69140037,98
Togo,162,0.483537549,45.96,91.518,2.990354912,0.324076867,-60.99270073,108.1821782,6.81,15.5,31.5,1.941805,15.22389258,0.588147782,9.57312679,9.175073395,1345.914276,1228.154409,10.3,55.8,327,5.7,44.4,59.7,450,4.461511,-0.3,0.53,5.125375036,36.14342,64,4.013160229,8.620802,41.34921,82.43938866,0.25349,17.5824176,10.07000476,16.39214561,84.7
Haiti,163,0.483373299,59.21,41.963,3.253228775,0.220395791,-14.31034482,121.9632319,9.73,3.4,37.9,2.196131,21.9816894,0.602642565,9.14928899,17.00729398,1648.399153,1668.713418,10.2,54.7,295,11.4,20,62.8,380,4.8776105,-3.4,5.976666667,15.205918,19.6887,96,3.73600324,9.42383,35.51568333,78.0183106,0.396520001,3.4782609,26.11040239,30.28677043,72.8
Rwanda,164,0.483240524,50.82,33.616,4.410447179,0.059557451,43.081761,117.0538981,8.62,10.5,18,1.472898,56.87910385,0.40047856,14.16529605,16.79763397,1426.366288,1458.039371,23.1,37.1,864,10.6,47.9,64.2,320,3.737537622,-0.8,0.56,10.14349785,65.25253,492,5.088759899,11.14239,59.81633,80.46735958,0.25341,57.5471698,25.68673822,13.37171053,52
Uganda,165,0.482672091,44.55,126.648,-1.113764478,0.108085953,-40.82087982,142.7238878,5.2,21.8,18.2,4.834984,48.98869118,0.538090021,8.31430411,51.40125493,1367.823107,1612.57569,10.7,43.8,1206,17.71,62.2,58.5,360,5.42,-0.8,1.17,23.49298444,75.1622,97,3.279299974,9.763035,45.59109,74.19495628,0.55794,34.9740933,30.64167601,13.00639473,66.1
Benin,166,0.47963511,43.53,90.22,5.495706521,0.509941159,-22.56552681,110.7131254,8.07,21.8,38.4,3.852759,41.70510576,0.614288578,11.24972588,17.89377452,1733.309399,1766.947029,8.4,56.2,231,5.3,32.1,59.6,340,3.3,-0.2,0.59,1.643053087,46.7651,75,5.345119953,4.559738,43.72854,56.17972479,0.53832,8.4337349,16.83266705,15.57788275,85.3
Sudan,167,0.47911312,35.29,83.966,0.039924011,0.354150545,-27.8944743,218.0366895,4.113333333,5.433333333,32.6,3.273623,29.51155156,0.590920502,7.51162664,123.9448404,3264.772978,3808.887883,11.2,51.2,591,24.64,50.13333333,63.5,360,3.137,-4.3,2.8,39.91637429,20.13425,56,2.23167,6.538191,46.10161,70.48844844,0.243893333,23.7597911,22.08003591,13.54493975,76.6
Djibouti,168,0.470442735,39.96,18.622,-1.428301659,0.558725843,0,111.6272293,4.58,4.333333333,53.3,19.63852,61.06031397,0.38605805,25.11463704,2.533725498,2902.546245,3276.21724,10.1,57.4,63,10.71,31.23333333,62,230,3.843,-3.7,2.29,7.549997207,15.5977,83,4.49022007,8.872706,33.23979,26.75522448,0.088956667,12.7272727,28.75298795,15.77495877,69.6
South Sudan,169,0.466698864,37.07,75.286,3.563738895,1.380393759,-9.724267931,149,5.99,6.866666667,5.1,3.043042967,48.98869118,0.449626509,23.04511386,22.19285278,1964.63464,2332.115216,13.9,64.1,0,15.9,38.16666667,55.7,730,5.371240139,15.7,9.733333333,17.29637544,24.95761667,65,0.72963,2.232292,49.89984,86.21159243,0.37121,24.3455497,19.81872994,14.91130148,99.2
Senegal,170,0.465889127,40.31,94.404,2.091007155,0.589493364,-10.21800989,105.5822177,8.37,8.7,56.5,2.016379,53.24021517,0.528217373,15.47713352,30.67030879,2170.077207,2188.114331,2.8,43.9,1063,17.7,32.1,66.5,320,2.476672553,-1.4,0.59,16.19906277,38.63309,64,5.599979877,4.249429,31.58513,46.38948022,0.54086,42.6666667,23.08064614,19.182225,55.3
